name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
calais,2022-04-25,11.8,8.6,10,11.8,5.3,8.4,7.2,82.7,0.001,100,4.17,rain,0,0,44.3,30.8,18.8,1013.6,93,19.3,143.2,12.3,8,10,2022-04-25T06:37:47,2022-04-25T21:04:28,0.81,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-04-26,12.8,7.5,10.4,12.8,5.3,9.2,5.6,72.6,0.012,100,8.33,rain,0,0,41.8,27,35.5,1020.7,46.1,19.8,233.3,19.9,8,10,2022-04-26T06:35:50,2022-04-26T21:06:05,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-04-27,12.8,6,9.5,12.8,4.4,8.2,4.6,72.2,0,0,0,rain,0,0,45.5,29,44.8,1026.5,63.3,19.7,106,9.2,3,10,2022-04-27T06:33:54,2022-04-27T21:07:42,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-04-28,13.6,5.2,9.7,13.6,3.6,8.5,5.7,76.8,0,0,0,,0,0,41.8,30.9,49.7,1030,50.1,18.8,168.9,14.8,5,10,2022-04-28T06:31:59,2022-04-28T21:09:18,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-04-29,12.1,8.7,9.9,12.1,5.5,8.1,6.5,79.8,0,0,0,rain,0,0,43.7,29.1,29.4,1030.4,94.8,19,120,10.4,4,10,2022-04-29T06:30:06,2022-04-29T21:10:55,0.95,Overcast,Cloudy skies throughout the day.,cloudy,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-04-30,11.7,6.3,9.7,11.7,5.5,8.2,5.1,73.2,0.001,100,4.17,rain,0,0,43.5,30.9,36,1029.2,69.7,20.1,183.4,15.9,8,10,2022-04-30T06:28:13,2022-04-30T21:12:31,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-01,15.3,2.5,9.6,15.3,2.5,9.5,5.3,76.8,0,0,0,rain,0,0,21.5,14.1,284.9,1024.4,86.6,16.1,91.5,7.9,4,10,2022-05-01T06:26:23,2022-05-01T21:14:07,0.02,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-02,14.8,8.6,11.5,14.8,7.7,11.4,7.7,77.9,0,0,0,,0,0,29.5,20.2,14.4,1021.2,89.9,16.2,134.7,11.6,5,10,2022-05-02T06:24:33,2022-05-02T21:15:43,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-03,11.8,6.8,9.8,11.8,5.9,9.5,7.8,87.3,0,0,0,,0,0,31.9,21.9,26.7,1021,87.4,13.9,173.8,15.1,8,10,2022-05-03T06:22:45,2022-05-03T21:17:18,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,D8013,06400099999,07010099999,07003099999"
calais,2022-05-04,15.1,4.3,9.7,15.1,4.3,9.7,7.1,84.4,0.534,100,4.17,rain,0,0,31.6,21.5,233.6,1020.2,83.9,14.4,118.6,10.2,5,10,2022-05-04T06:20:58,2022-05-04T21:18:53,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-05,15,9.1,12.4,15,9.1,12.4,9.7,84.1,0.478,100,12.5,rain,0,0,32,16.1,317.9,1023.2,72.4,15,257.5,22.4,8,10,2022-05-05T06:19:13,2022-05-05T21:20:28,0.15,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-06,20.6,5.5,13.7,20.6,5.5,13.5,8.2,72.8,0.181,100,8.33,rain,0,0,38.2,25.3,233.4,1025.8,49.4,14.1,256.5,22.4,8,10,2022-05-06T06:17:29,2022-05-06T21:22:02,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-07,17,11.2,13.5,17,11.2,13.5,11.2,86.3,0.363,100,8.33,rain,0,0,37,25.3,9.2,1025.2,83.6,16.4,171.3,14.8,9,10,2022-05-07T06:15:47,2022-05-07T21:23:35,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-08,14.7,8.5,12.4,14.7,6.8,12.2,8.8,79.5,0,0,0,,0,0,42.1,30.6,41.7,1028.1,54.5,18,261,22.7,8,10,2022-05-08T06:14:06,2022-05-08T21:25:08,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-09,21.5,4,14,21.5,4,14,7.5,69,0.007,100,4.17,rain,0,0,32.2,19.5,238.6,1024.9,32.5,15.3,243.1,21,8,10,2022-05-09T06:12:28,2022-05-09T21:26:41,0.25,"Rain, Partially cloudy",Becoming cloudy in the afternoon with morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-10,17.9,13.4,15.9,17.9,13.4,15.9,9.9,67.9,0,0,0,,0,0,56.6,37.6,227.1,1017.3,93.2,19.9,128.8,11,5,10,2022-05-10T06:10:50,2022-05-10T21:28:13,0.31,Overcast,Cloudy skies throughout the day.,cloudy,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-11,17.9,11.4,14.5,17.9,11.4,14.5,9.7,74.1,0.749,100,12.5,rain,0,0,63.8,40,238.2,1012.4,87.2,19.1,218.7,18.7,8,10,2022-05-11T06:09:15,2022-05-11T21:29:44,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-12,17.2,8.8,13.4,17.2,7.4,13.2,8.8,75.8,0.195,100,16.67,rain,0,0,47.7,30.6,241.7,1018.8,54.2,19.2,204,17.6,7,10,2022-05-12T06:07:41,2022-05-12T21:31:15,0.38,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-13,17.3,11.1,13.8,17.3,11.1,13.8,8.6,72.6,0,0,0,rain,0,0,56.6,36,245.3,1021,65.7,19,261.6,22.5,9,10,2022-05-13T06:06:10,2022-05-13T21:32:45,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,D8013,06400099999,07010099999,07003099999"
calais,2022-05-14,18.4,8.8,13.8,18.4,7.9,13.6,9.8,78.8,0.178,100,4.17,rain,0,0,33.1,18.3,285.1,1021.7,50.2,16.2,292,25.4,9,10,2022-05-14T06:04:40,2022-05-14T21:34:14,0.44,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,remote,07003099999"
calais,2022-05-15,27.1,9.2,17,26.5,7.9,16.8,10.4,69.6,0,0,0,,0,0,47.4,27.1,92.2,1016.2,82.2,15.7,121.8,10.5,5,10,2022-05-15T06:03:12,2022-05-15T21:35:42,0.48,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-16,21.1,13.5,17.9,21.1,13.5,17.9,13,74.1,0.003,100,4.17,rain,0,0,60,35.9,243.8,1015.5,82,17,224.6,19.5,8,10,2022-05-16T06:01:46,2022-05-16T21:37:09,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-17,23,12.9,18.7,23,12.9,18.7,13.2,71.9,0.009,100,8.33,rain,0,0,23.3,14.9,53.4,1018.8,63.9,18.6,275.6,24.1,9,10,2022-05-17T06:00:22,2022-05-17T21:38:35,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-18,20.2,13.7,17.6,20.2,13.7,17.6,12,71.2,0.856,100,12.5,rain,0,0,43.1,23.1,283.7,1020.1,63.3,19.3,269.7,23.2,8,10,2022-05-18T05:59:01,2022-05-18T21:40:00,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-19,19.6,13,16.7,19.6,13,16.7,13.1,79.8,9.402,100,33.33,rain,0,0,52.3,28.7,241.2,1018.4,73.5,17.4,177.1,15.2,8,10,2022-05-19T05:57:41,2022-05-19T21:41:25,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2022-05-20,14.8,10.4,12.2,14.8,10.4,12.2,9.8,85.8,7.576,100,20.83,rain,0,0,46.3,26.4,256.4,1019.5,76.2,17.4,94.5,8.1,5,10,2022-05-20T05:56:24,2022-05-20T21:42:48,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
