name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
62304_maritime,2022-01-19,9.2,6.3,7.6,4.8,2.5,3.5,3.9,77.4,0.2,100,8.33,rain,0,,53.6,46.4,290,1026.6,66.9,16.7,24.8,2.1,2,10,2022-01-19T07:46:52,2022-01-19T16:20:42,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,62304_maritime
62304_maritime,2022-01-20,6.9,5.2,5.8,2.5,-0.8,0.5,2,76.5,0.8,100,25,rain,0,,55.4,44.6,339.9,1033,47,18.3,58.1,5.1,3,10,2022-01-20T07:45:50,2022-01-20T16:22:20,0.59,"Rain, Partially cloudy",Becoming cloudy in the afternoon with rain.,rain,62304_maritime
62304_maritime,2022-01-21,6.2,4.4,5.4,1.4,-0.9,0.5,2,78.6,0,0,0,,0,,48.2,37.1,319.3,1037.2,19,18.3,65.9,5.7,3,10,2022-01-21T07:44:46,2022-01-21T16:24:00,0.62,Clear,Clear conditions throughout the day.,clear-day,62304_maritime
62304_maritime,2022-01-22,6.9,4.9,5.9,4.1,-0.3,1.6,3.4,84,0,0,0,,0,,23.8,33.5,308.8,1036.4,36.8,11.3,53.9,4.8,3,10,2022-01-22T07:43:38,2022-01-22T16:25:41,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62304_maritime
62304_maritime,2022-01-23,7,4.4,6.3,6.8,0.7,3.5,2.2,75.4,0.4,100,16.67,rain,0,,13.7,22.3,138.4,1035.2,89.2,15,25.5,2.2,2,10,2022-01-23T07:42:29,2022-01-23T16:27:23,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-01-24,4.9,3.5,4.2,3.5,0.2,1.7,1.2,80.8,0,0,0,,0,,13.7,16.6,117.5,1033.7,50.1,5.5,46.7,4.2,3,10,2022-01-24T07:41:17,2022-01-24T16:29:05,0.73,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62304_maritime
62304_maritime,2022-01-25,5.2,3.4,4.6,4.7,-1.3,2.2,1.7,81.4,0.1,100,4.17,rain,0,,13.3,25.9,333.7,1033.8,88.4,3.7,32.5,2.9,2,10,2022-01-25T07:40:02,2022-01-25T16:30:49,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,62304_maritime
62304_maritime,2022-01-26,7,2.3,5,2.4,-2.3,0.5,1.6,79,0,0,0,rain,0,,48.2,40.7,264.4,1032.5,53.5,8.2,67.2,5.7,3,10,2022-01-26T07:38:45,2022-01-26T16:32:33,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62304_maritime
62304_maritime,2022-01-27,9.9,7.4,8.6,6.8,2.4,4.3,5.6,81.4,0.1,100,4.17,rain,0,,63,51.8,265.5,1027.6,62.3,17.9,34.9,3,2,10,2022-01-27T07:37:26,2022-01-27T16:34:18,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,62304_maritime
62304_maritime,2022-01-28,8.7,6.3,7.5,4.7,2.2,3.4,5.6,87.8,0,0,0,,0,,59.4,50,259.1,1034,91.9,13.3,54.6,4.8,3,10,2022-01-28T07:36:04,2022-01-28T16:36:03,0.87,Overcast,Cloudy skies throughout the day.,wind,62304_maritime
62304_maritime,2022-01-29,10.2,8.5,9.3,10.2,3.4,5,7.4,88.5,0.3,100,12.5,rain,0,,66.6,51.8,255.5,1027.1,57,8.9,61.3,5.4,3,10,2022-01-29T07:34:41,2022-01-29T16:37:50,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-01-30,8.3,6,6.8,4.7,1.6,2.9,2.9,75.9,0,0,0,,0,,76,64.8,282.3,1029.2,45.4,13.7,75,6.5,4,10,2022-01-30T07:33:15,2022-01-30T16:39:36,0.94,Partially cloudy,Becoming cloudy in the afternoon.,wind,"62304_maritime,remote"
62304_maritime,2022-01-31,8.9,5.8,7.2,3.9,0.5,1.5,0.7,64.1,0.6,100,12.5,rain,0,,87.1,64.8,307.9,1020.2,74.7,15.8,76.9,6.7,3,10,2022-01-31T07:31:47,2022-01-31T16:41:23,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,62304_maritime
62304_maritime,2022-02-01,12.5,6,9.2,12.5,0.6,6.3,6,80.7,1.7,100,16.67,rain,0,,70.2,44.6,266.9,1020,95,16.3,52.5,4.4,3,10,2022-02-01T07:30:17,2022-02-01T16:43:11,0,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,62304_maritime
62304_maritime,2022-02-02,10.2,8.5,9.6,10.2,4.6,6.3,7.6,87.7,0,0,0,,0,,57.2,38.9,257.8,1021.7,94.3,17.1,67.3,5.7,4,10,2022-02-02T07:28:45,2022-02-02T16:44:59,0.04,Overcast,Cloudy skies throughout the day.,cloudy,62304_maritime
62304_maritime,2022-02-03,9.2,7.7,8.4,5.4,3,4.1,7.2,91.8,0.9,100,33.33,rain,0,,55.4,42.5,237.5,1015.3,91,14.7,53.4,4.7,3,10,2022-02-03T07:27:11,2022-02-03T16:46:47,0.07,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-02-04,9.3,4.4,7.7,4.9,-2.3,2.6,4.6,81.1,2.3,100,20.83,rain,0,,79.6,66.6,254.1,1011.4,63,14,41.4,3.6,2,10,2022-02-04T07:25:35,2022-02-04T16:48:35,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-02-05,9.7,5.5,7.6,4.5,0.2,2.3,4,77.9,0.1,100,4.17,rain,0,,81.7,68.4,251.4,1018.7,55.7,14.7,79.9,6.8,4,10,2022-02-05T07:23:57,2022-02-05T16:50:24,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,62304_maritime
62304_maritime,2022-02-06,10.4,7.4,9.5,10.4,1.5,5.5,5.7,77.7,3.8,100,62.5,rain,0,,98.3,77.8,262.1,1006.5,79.3,12.2,62.6,5.4,3,10,2022-02-06T07:22:18,2022-02-06T16:52:12,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-02-07,9.2,5.4,7.2,4.9,0.1,2.3,3.1,75.7,0.1,100,4.17,rain,0,,70.6,55.4,274,1024.6,38.4,15.9,92.4,7.9,4,10,2022-02-07T07:20:36,2022-02-07T16:54:01,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"62304_maritime,remote"
62304_maritime,2022-02-08,9.8,9,9.4,5.5,4.4,5,7.9,90.5,0.3,100,8.33,rain,0,,55.4,46.4,236.4,1027.1,64.8,9.7,85.8,7.4,4,10,2022-02-08T07:18:54,2022-02-08T16:55:50,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,62304_maritime
62304_maritime,2022-02-09,8.9,8.3,8.5,4.8,3.5,4.2,7.9,96.1,0.2,100,8.33,rain,0,,55.4,44.6,221.8,1024.3,93.1,5.3,43.2,3.7,2,10,2022-02-09T07:17:09,2022-02-09T16:57:39,0.27,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,62304_maritime
62304_maritime,2022-02-10,8.8,6.2,7.4,5.3,1.2,3.7,4.5,82.5,2.7,100,45.83,rain,0,0,46.1,35.3,280.5,1021.9,83.5,15.7,33.8,2.9,2,10,2022-02-10T07:15:23,2022-02-10T16:59:27,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-02-11,6.9,4.8,5.7,6.9,-0.2,2.3,1.3,73.6,0,0,0,,0,0,55.4,42.5,296.7,1031.3,28.6,19.2,101.6,8.9,4,10,2022-02-11T07:13:35,2022-02-11T17:01:16,0.33,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62304_maritime
62304_maritime,2022-02-12,7.7,4.9,6.2,3.4,-1.5,0.9,0.8,68.7,0,0,0,,0,0,66.6,57.6,199.5,1023.7,45.9,20,95.6,8.3,4,10,2022-02-12T07:11:46,2022-02-12T17:03:05,0.36,Partially cloudy,Partly cloudy throughout the day.,wind,62304_maritime
62304_maritime,2022-02-13,10.5,5.4,8,10.5,-1,3.3,4.5,78.9,0.8,100,12.5,rain,0,0,76,59.4,200.4,1004.7,93.2,12.3,50.6,4.3,4,10,2022-02-13T07:09:56,2022-02-13T17:04:54,0.4,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,62304_maritime
62304_maritime,2022-02-14,11.3,7.7,8.8,11.3,2.8,4.7,5.9,82,2.3,100,33.33,rain,0,0,96.5,77.8,237.2,999,65.7,14.6,95.1,8.2,4,10,2022-02-14T07:08:04,2022-02-14T17:06:42,0.43,"Rain, Partially cloudy",Clearing in the afternoon with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-02-15,9.4,6.2,8,5.1,1.2,3,5.9,86.8,6.7,100,37.5,rain,0,0,87.1,68.4,234.9,1007.3,75.2,10.3,27,2.3,1,10,2022-02-15T07:06:10,2022-02-15T17:08:30,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,62304_maritime
62304_maritime,2022-02-16,10.9,9.2,10.2,10.9,4.1,8.8,9.6,96.3,2.4,100,37.5,rain,0,0,96.5,76,232.7,996.5,94.2,3.7,62.1,5.3,4,10,2022-02-16T07:04:16,2022-02-16T17:10:19,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-02-17,11.5,9.3,10,11.5,4.5,7.2,5.3,73,0.1,100,4.17,rain,0,0,83.5,64.8,255.4,1007.5,65.1,9.2,103.3,8.9,4,10,2022-02-17T07:02:20,2022-02-17T17:12:07,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"62304_maritime,remote"
62304_maritime,2022-02-18,10.4,6.4,9,10.4,-0.3,4.7,4.7,75.6,3.3,100,37.5,rain,0,0,137.2,113,234.5,998.7,68,5.5,54.4,4.8,3,10,2022-02-18T07:00:23,2022-02-18T17:13:55,0.56,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,62304_maritime
62304_maritime,2022-02-19,9.8,5.7,7.5,5.6,-0.9,1.7,3,73.4,6.4,100,25,rain,0,0,116.6,85.3,249.6,1010.3,46.7,11.2,46.7,4.2,2,10,2022-02-19T06:58:25,2022-02-19T17:15:42,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,62304_maritime
62304_maritime,2022-02-20,10.9,8.3,9.9,10.9,2.3,8,7.6,85.9,3.9,100,25,rain,0,0,116.6,90.7,241,1004.3,91.2,5.5,15.2,1.3,1,10,2022-02-20T06:56:25,2022-02-20T17:17:29,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,62304_maritime
62304_maritime,2022-02-21,10.4,5.7,8.5,10.4,-1.1,4,2.8,67.8,0,0,0,rain,0,0,111.2,79.6,279.9,1007.5,39.4,15.3,79,6.9,3,10,2022-02-21T06:54:25,2022-02-21T17:19:17,0.67,Partially cloudy,Partly cloudy throughout the day.,wind,"62304_maritime,remote"
62304_maritime,2022-02-22,10.8,7.8,9.6,10.8,3.6,7.3,6.5,81.4,0.5,100,16.67,rain,0,0,77.8,64.8,251.6,1019,71.7,12,73.6,6.2,5,10,2022-02-22T06:52:23,2022-02-22T17:21:03,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"62304_maritime,remote"
62304_maritime,2022-02-23,9.7,8.2,8.8,6.1,3.6,4.9,5.1,77.8,0.4,100,8.33,rain,0,0,63,46.4,228.8,1022.3,48.9,13.4,120.6,10.5,5,10,2022-02-23T06:50:21,2022-02-23T17:22:50,0.75,"Rain, Partially cloudy",Becoming cloudy in the afternoon with late afternoon rain.,rain,"62304_maritime,remote"
62304_maritime,2022-02-24,9.4,-19.2,6.9,4.7,-34.9,1.2,2.5,70.5,5.3,100,45.83,rain,0,0,94.7,70.6,245.7,1013.6,66.6,14.7,56.7,5,3,10,2022-02-24T06:48:17,2022-02-24T17:24:36,0.78,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"62304_maritime,remote"
62304_maritime,2022-02-25,9,6,7.5,7.9,0.3,3.4,2.1,68.4,0,0,0,,0,0,74.2,53.6,283.5,1024.9,4.1,16.8,127.5,11.1,5,10,2022-02-25T06:46:13,2022-02-25T17:26:22,0.81,Clear,Clear conditions throughout the day.,wind,"62304_maritime,remote"
62304_maritime,2022-02-26,9.2,6.8,8.1,6.3,1.3,4.7,2.3,67.4,0,0,0,,0,0,55.4,46.4,154.9,1031.4,0,17.5,131.1,11.3,5,10,2022-02-26T06:44:08,2022-02-26T17:28:08,0.85,Clear,Clear conditions throughout the day.,clear-day,62304_maritime
62304_maritime,2022-02-27,9.2,3.9,6.4,5.9,-2.5,1.4,-0.3,62.5,0,0,0,,0,0,63,51.8,139.9,1026.5,0,18.4,138.1,12,5,10,2022-02-27T06:42:02,2022-02-27T17:29:54,0.88,Clear,Clear conditions throughout the day.,wind,"62304_maritime,remote"
62304_maritime,2022-02-28,10.4,6.3,8.3,10.4,1.2,4.7,1.4,61.9,0,0,0,,0,0,51.1,38.9,161.8,1026,51.8,19.2,119.2,10.1,5,10,2022-02-28T06:39:55,2022-02-28T17:31:39,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62304_maritime
62304_maritime,2022-03-01,9.4,7.4,7.9,7.9,4,5.4,6.2,89.5,7.5,100,62.5,rain,0,0,32.8,25.9,161.5,1025.7,99.5,4.3,9.4,0.7,0,10,2022-03-01T06:37:47,2022-03-01T17:33:24,0.96,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-03-02,10.9,7.2,8.3,10.9,3.6,5.6,-0.6,59.8,4.1,100,66.67,rain,0,0,31.7,24.1,96.9,1021.7,100,5.3,24.2,2,1,10,2022-03-02T06:35:39,2022-03-02T17:35:08,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2022-03-03,10.5,7.3,8.7,10.5,3.9,6.7,5.5,80.4,0,0,0,,0,0,24.8,25.9,129.6,1016.2,91.3,4.1,94,7.8,4,10,2022-03-03T06:33:30,2022-03-03T17:36:53,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"62304_maritime,remote"
62304_maritime,2022-03-04,9.9,7.4,8.8,9.4,3,6.6,6.9,87.8,0,0,0,rain,0,0,27,33.5,268.1,1018.3,88.8,3.3,42.1,3.4,2,10,2022-03-04T06:31:20,2022-03-04T17:38:37,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62304_maritime
62304_maritime,2022-03-05,7.5,5.9,7.1,4.3,0.2,2.9,4.6,84.2,1.3,100,25,rain,0,0,55.4,44.6,4.4,1020.8,95.4,4.3,34.9,2.9,2,10,2022-03-05T06:29:10,2022-03-05T17:40:21,0.09,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,62304_maritime
62304_maritime,2022-03-06,6.6,5,5.9,1.6,-0.8,0.1,-0.5,63.6,0,0,0,,0,0,66.6,51.8,52.3,1026.1,61.7,14.9,119.8,10,5,10,2022-03-06T06:26:59,2022-03-06T17:42:04,0.12,Partially cloudy,Partly cloudy throughout the day.,wind,"62304_maritime,remote"
62304_maritime,2022-03-07,6.2,3.7,5.1,1.2,-2.5,-0.6,-2,60.6,0,0,0,,0,0,63,51.8,94.1,1024,14.3,16,157.8,13.6,6,10,2022-03-07T06:24:47,2022-03-07T17:43:47,0.15,Clear,Clear conditions throughout the day.,wind,62304_maritime
62304_maritime,2022-03-08,9.9,2.5,5.8,6.3,-4.6,0.6,-1.3,60.2,0,0,0,,0,0,63,53.6,139,1016.9,3.2,9.3,161,13.9,6,10,2022-03-08T06:22:35,2022-03-08T17:45:30,0.19,Clear,Clear conditions throughout the day.,wind,62304_maritime
62304_maritime,2022-03-09,11.5,6.9,9,11.5,2.6,6.2,4.5,73.8,0,0,0,,0,0,48.2,38.9,170.4,1018.6,36.6,6.9,154.7,13.3,6,10,2022-03-09T06:20:23,2022-03-09T17:47:13,0.22,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,62304_maritime
62304_maritime,2022-03-10,13.7,7.8,10.2,13.7,3.8,8.4,5.5,72.8,0,0,0,,0,0,36,33.5,141.1,1017.8,25,6.9,156,13.5,6,10,2022-03-10T06:18:10,2022-03-10T17:48:56,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62304_maritime
62304_maritime,2022-03-11,11.8,7.5,9.8,11.8,2.4,7.8,5.6,75.3,0.9,100,25,rain,0,0,59.4,46.4,146.3,1007.9,69.3,10.3,72.9,6.4,3,10,2022-03-11T06:15:57,2022-03-11T17:50:38,0.28,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,62304_maritime
62304_maritime,2022-03-12,11.4,9.2,10,11.4,5,7.7,6.1,76.9,0,0,0,rain,0,0,57.6,42.5,178.2,1011.1,81.1,17.1,131.8,11.5,5,10,2022-03-12T06:13:43,2022-03-12T17:52:20,0.31,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62304_maritime
62304_maritime,2022-03-13,11,8.7,9.5,11,4.2,7.1,6.8,83.5,2.8,100,37.5,rain,0,0,53.6,40.7,165.3,1009.5,98,17.1,70.7,6.1,4,10,2022-03-13T06:11:29,2022-03-13T17:54:01,0.35,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,62304_maritime
62304_maritime,2022-03-14,10.2,8.9,9.3,10.2,5.5,6.6,7.3,87.2,0.6,100,12.5,rain,0,0,32.4,31.7,223.5,1023.5,71.9,13.8,158.3,13.7,5,10,2022-03-14T06:09:15,2022-03-14T17:55:43,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,62304_maritime
62304_maritime,2022-03-15,10.3,8.9,9.5,10.3,5.7,7.5,6.9,84.3,0,0,0,,0,0,27.4,24.1,125.1,1022.7,83.4,8.7,95.5,8.2,3,10,2022-03-15T06:07:00,2022-03-15T17:57:24,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62304_maritime
62304_maritime,2022-03-16,10.9,8.5,9.5,10.9,4.1,7.3,7.9,90.1,0.9,100,16.67,rain,0,0,61.2,46.4,144.1,1018.5,94.9,4.9,107.9,9.4,5,10,2022-03-16T06:04:45,2022-03-16T17:59:06,0.44,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,62304_maritime
62304_maritime,2022-03-17,9.4,6.5,8.2,6.9,2.2,4.7,4.6,78.4,0,0,0,rain,0,0,61.2,46.4,266.5,1031,20.6,16.7,182.5,15.8,6,10,2022-03-17T06:02:30,2022-03-17T18:00:46,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,62304_maritime
62304_maritime,2022-03-18,10.4,8.8,9.4,10.4,5.8,7.2,7.2,86.8,0,0,0,,0,0,43.6,38.9,51,1041.4,0.8,8.9,181.2,15.5,6,10,2022-03-18T06:00:15,2022-03-18T18:02:27,0.5,Clear,Clear conditions throughout the day.,clear-day,62304_maritime
62304_maritime,2022-03-19,10.9,8.5,9.7,10.9,3.6,6.9,4.2,69.1,0,0,0,,0,0,68.4,55.4,78.2,1036.7,0,12.2,187.6,16.3,6,10,2022-03-19T05:58:00,2022-03-19T18:04:08,0.54,Clear,Clear conditions throughout the day.,wind,"62304_maritime,remote"
