name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
calais,2023-01-01,14.9,9.9,12.1,14.9,8.6,12,9,81.7,8.261,100,33.33,rain,0,0,81.6,50.1,218.7,1010.6,96.4,17.3,24.3,2.1,1,10,2023-01-01T08:55:41,2023-01-01T16:56:38,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2023-01-02,11.8,3.4,8.5,11.8,0.9,6.6,7,89.9,4.361,100,33.33,rain,0,0,34,22,251.7,1016.8,81.8,17,32.1,2.8,2,10,2023-01-02T08:55:35,2023-01-02T16:57:41,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2023-01-03,11.5,2.9,8.5,11.5,0.8,7,6.4,87,1.164,100,16.67,rain,0,0,67.9,41.5,197.9,1023.1,93.3,18.1,14.5,1.2,1,10,2023-01-03T08:55:26,2023-01-03T16:58:47,0.38,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2023-01-04,13.1,10.8,12.1,13.1,10.8,12.1,10.6,90.6,0.208,100,16.67,rain,0,0,81.3,50.2,239.9,1016.8,98.2,9.4,23,2,1,10,2023-01-04T08:55:14,2023-01-04T16:59:55,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2023-01-05,12.3,10.4,11.3,12.3,10.4,11.3,9.7,90.2,0.183,100,8.33,rain,0,0,58.4,36,243.4,1020.6,95.5,11.4,31.8,2.8,2,10,2023-01-05T08:54:58,2023-01-05T17:01:05,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2023-01-06,12.3,9.2,11.3,12.3,7.5,11.1,9.2,87,0.403,100,29.17,rain,0,0,68.9,39.6,223.6,1016.7,90.5,17.1,41.2,3.6,3,10,2023-01-06T08:54:39,2023-01-06T17:02:18,0.48,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2023-01-07,12.3,9.2,10.5,12.3,5.4,9.6,7.1,79.8,0.942,100,25,rain,0,0,62.6,38,195.1,1006.3,92.4,20,7.5,0.7,0,10,2023-01-07T08:54:17,2023-01-07T17:03:34,0.5,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2023-01-08,10.6,7.4,8.7,10.6,3,5.9,5.4,80,0.668,100,12.5,rain,0,0,66.6,34.1,204.4,997.1,74.2,19.3,21.1,1.8,1,10,2023-01-08T08:53:52,2023-01-08T17:04:51,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2023-01-09,8.8,7.1,8,5.1,3,3.9,4.4,78.5,4.909,100,16.67,rain,0,0,65,41.4,266.2,1000.7,88.2,19,33.5,2.9,2,10,2023-01-09T08:53:23,2023-01-09T17:06:11,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
calais,2023-01-10,12.8,5.3,8.6,12.8,2.5,6.1,6.1,84.9,0.418,100,29.17,rain,0,0,83.7,49,220.9,1012.4,80.5,17.7,5.9,0.7,0,10,2023-01-10T08:52:52,2023-01-10T17:07:32,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"07002099999,C9694,03797035047,07009099999,06400099999,07010099999,07003099999"
