name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
62304_maritime,2023-01-01,13.8,10.2,12.2,13.8,10.2,12.2,9.2,82.1,5.3,100,62.5,rain,0,0,77.8,61.2,219,1009.9,96.7,8.8,28.1,2.3,2,10,2023-01-01T07:57:05,2023-01-01T15:55:39,0.31,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2023-01-02,10.9,8.4,9.6,10.9,4.3,7.1,6.2,80,3.5,100,33.33,rain,0,0,46.4,35.3,275.3,1016.9,79.9,29.3,32.4,2.7,2,10,2023-01-02T07:56:59,2023-01-02T15:56:43,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2023-01-03,11.5,8.5,10.3,11.5,5.4,9,7.8,84.4,2.7,100,45.83,rain,0,0,93.6,76,202.6,1021.8,88.1,11.7,18.1,1.5,1,10,2023-01-03T07:56:50,2023-01-03T15:57:49,0.38,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"62304_maritime,remote"
62304_maritime,2023-01-04,12.8,11.8,12.2,12.8,11.8,12.2,10.7,90.5,0,0,0,rain,0,0,98.3,72.4,235.5,1016.1,96.4,3.5,21.8,1.9,2,10,2023-01-04T07:56:37,2023-01-04T15:58:58,0.42,Overcast,Cloudy skies throughout the day.,wind,62304_maritime
62304_maritime,2023-01-05,12,11.3,11.7,12,11.3,11.7,10,89.1,0.4,100,12.5,rain,0,0,59.4,53.6,241.4,1019.7,90.9,5.8,17.5,1.3,1,10,2023-01-05T07:56:20,2023-01-05T16:00:09,0.45,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,62304_maritime
62304_maritime,2023-01-06,12.4,10.4,11.5,12.4,10.4,11.5,9.2,85.9,2.2,100,29.17,rain,0,0,92.2,63,222.2,1015.6,85.7,13.4,41.3,3.5,2,10,2023-01-06T07:56:01,2023-01-06T16:01:22,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"62304_maritime,remote"
62304_maritime,2023-01-07,12.4,10.3,11.6,12.4,10.3,11.6,7.5,76,2.2,100,20.83,rain,0,0,90.7,70.6,199.9,1004.6,83.2,15.8,16.4,1.4,2,10,2023-01-07T07:55:38,2023-01-07T16:02:38,0.52,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,62304_maritime
62304_maritime,2023-01-08,11,9.3,10.3,11,4.7,8.7,6.3,76.3,14.2,100,70.83,rain,0,0,85.3,61.2,217.6,995.8,89.1,9.9,31,2.6,2,10,2023-01-08T07:55:13,2023-01-08T16:03:56,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2023-01-09,9.9,8.3,8.9,5.4,3,4.1,4.4,73.6,7.1,100,41.67,rain,0,0,96.5,72.4,267.7,1000.8,60.8,17.8,18.8,1.6,1,10,2023-01-09T07:54:44,2023-01-09T16:05:16,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,62304_maritime
62304_maritime,2023-01-10,12.4,7.9,10,12.4,2.2,7.2,7.2,83,6.6,100,41.67,rain,0,0,90.7,87.1,221.3,1011.1,80.4,8.8,4.1,0.2,0,10,2023-01-10T07:54:11,2023-01-10T16:06:39,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,62304_maritime
